,0,1,2,3,4,5,6,7,8,9,10,11,12
204,0.0,1.0,0.0,1,1,2,1,0,3917.0,0.0,124.0,360.0,1.0
205,0.0,1.0,0.0,0,0,0,1,0,4408.0,0.0,120.0,360.0,1.0
206,0.0,0.0,1.0,0,0,0,0,0,3244.0,0.0,80.0,360.0,1.0
207,1.0,0.0,0.0,1,0,0,1,0,3975.0,2531.0,55.0,360.0,1.0
208,0.0,0.0,1.0,1,0,0,0,0,2479.0,0.0,59.0,360.0,1.0
209,0.0,1.0,0.0,1,0,0,0,0,3418.0,0.0,127.0,360.0,1.0
210,0.0,1.0,0.0,0,0,0,0,0,10000.0,0.0,214.0,360.0,1.0
211,0.0,1.0,0.0,1,1,3+,0,0,3430.0,1250.0,128.0,360.0,0.0
212,0.0,0.0,1.0,1,1,1,0,1,7787.0,0.0,240.0,360.0,1.0
213,1.0,0.0,0.0,1,1,3+,1,1,5703.0,0.0,130.0,360.0,1.0
214,0.0,0.0,1.0,1,1,0,0,0,3173.0,3021.0,137.0,360.0,1.0
215,0.0,1.0,0.0,1,1,3+,1,0,3850.0,983.0,100.0,360.0,1.0
216,1.0,0.0,0.0,1,1,0,0,0,150.0,1800.0,135.0,360.0,1.0
217,0.0,1.0,0.0,1,1,0,0,0,3727.0,1775.0,131.0,360.0,1.0
218,0.0,1.0,0.0,1,1,2,0,0,5000.0,0.0,72.0,360.0,0.0
219,0.0,1.0,0.0,0,1,2,0,0,4283.0,2383.0,127.0,360.0,1.0
220,0.0,0.0,1.0,1,1,0,0,0,2221.0,0.0,60.0,360.0,0.0
221,0.0,1.0,0.0,1,1,2,0,0,4009.0,1717.0,116.0,360.0,1.0
222,0.0,1.0,0.0,1,0,0,0,0,2971.0,2791.0,144.0,360.0,1.0
223,0.0,1.0,0.0,1,1,0,0,0,7578.0,1010.0,175.0,360.0,1.0
224,0.0,1.0,0.0,1,1,0,0,0,6250.0,0.0,128.0,360.0,1.0
225,1.0,0.0,0.0,1,1,0,0,0,3250.0,0.0,170.0,360.0,1.0
226,0.0,0.0,1.0,1,1,0,1,1,4735.0,0.0,138.0,360.0,1.0
227,0.0,1.0,0.0,1,1,2,0,0,6250.0,1695.0,210.0,360.0,1.0
228,0.0,1.0,0.0,1,1,0,0,0,4758.0,0.0,158.0,480.0,1.0
229,1.0,0.0,0.0,1,0,0,0,1,6400.0,0.0,200.0,360.0,1.0
230,0.0,1.0,0.0,1,1,1,0,0,2491.0,2054.0,104.0,360.0,1.0
231,1.0,0.0,0.0,1,1,0,0,0,3716.0,0.0,42.0,180.0,1.0
232,1.0,0.0,0.0,1,0,0,1,0,3189.0,2598.0,120.0,360.0,1.0
233,0.0,1.0,0.0,0,0,0,0,0,8333.0,0.0,280.0,360.0,1.0
234,0.0,1.0,0.0,1,1,1,0,0,3155.0,1779.0,140.0,360.0,1.0
235,1.0,0.0,0.0,1,1,1,0,0,5500.0,1260.0,170.0,360.0,1.0
236,0.0,0.0,1.0,1,1,0,0,0,5746.0,0.0,255.0,360.0,1.0
237,0.0,0.0,1.0,0,0,0,0,1,3463.0,0.0,122.0,360.0,1.0
238,1.0,0.0,0.0,0,0,1,0,0,3812.0,0.0,112.0,360.0,1.0
239,0.0,1.0,0.0,1,1,1,0,0,3315.0,0.0,96.0,360.0,1.0
240,1.0,0.0,0.0,1,1,2,0,0,5819.0,5000.0,120.0,360.0,1.0
241,0.0,0.0,1.0,1,1,1,1,0,2510.0,1983.0,140.0,180.0,1.0
242,0.0,0.0,1.0,1,0,0,0,0,2965.0,5701.0,155.0,60.0,1.0
243,1.0,0.0,0.0,1,1,2,0,1,6250.0,1300.0,108.0,360.0,1.0
244,0.0,1.0,0.0,1,1,0,1,0,3406.0,4417.0,123.0,360.0,1.0
245,0.0,0.0,1.0,1,0,0,0,1,6050.0,4333.0,120.0,180.0,1.0
246,0.0,0.0,1.0,1,1,2,0,0,9703.0,0.0,112.0,360.0,1.0
247,0.0,0.0,1.0,1,1,1,1,0,6608.0,0.0,137.0,180.0,1.0
248,0.0,1.0,0.0,1,1,1,0,0,2882.0,1843.0,123.0,480.0,1.0
249,0.0,0.0,1.0,1,1,0,0,0,1809.0,1868.0,90.0,360.0,1.0
250,0.0,1.0,0.0,1,1,0,1,0,1668.0,3890.0,201.0,360.0,0.0
251,0.0,0.0,1.0,0,0,2,0,0,3427.0,0.0,138.0,360.0,1.0
252,1.0,0.0,0.0,1,0,0,1,1,2583.0,2167.0,104.0,360.0,1.0
253,0.0,1.0,0.0,1,1,1,1,0,2661.0,7101.0,279.0,180.0,1.0
254,0.0,0.0,1.0,1,0,0,0,1,16250.0,0.0,192.0,360.0,0.0
255,1.0,0.0,0.0,0,0,3+,0,0,3083.0,0.0,255.0,360.0,1.0
256,1.0,0.0,0.0,1,0,0,1,0,6045.0,0.0,115.0,360.0,0.0
257,0.0,0.0,1.0,1,1,3+,0,0,5250.0,0.0,94.0,360.0,1.0
258,1.0,0.0,0.0,1,1,0,0,0,14683.0,2100.0,304.0,360.0,1.0
259,0.0,1.0,0.0,1,1,3+,1,0,4931.0,0.0,128.0,360.0,1.0
260,0.0,0.0,1.0,1,1,1,0,0,6083.0,4250.0,330.0,360.0,1.0
261,0.0,1.0,0.0,1,0,0,0,0,2060.0,2209.0,134.0,360.0,1.0
262,0.0,1.0,0.0,0,0,1,0,0,3481.0,0.0,155.0,36.0,1.0
263,1.0,0.0,0.0,0,0,0,0,0,7200.0,0.0,120.0,360.0,1.0
264,0.0,1.0,0.0,1,0,0,0,1,5166.0,0.0,128.0,360.0,1.0
265,1.0,0.0,0.0,1,0,0,0,0,4095.0,3447.0,151.0,360.0,1.0
266,0.0,1.0,0.0,1,1,2,0,0,4708.0,1387.0,150.0,360.0,1.0
267,0.0,0.0,1.0,1,1,3+,0,0,4333.0,1811.0,160.0,360.0,0.0
268,1.0,0.0,0.0,0,0,0,0,0,3418.0,0.0,135.0,360.0,1.0
269,0.0,0.0,1.0,0,0,1,0,0,2876.0,1560.0,90.0,360.0,1.0
270,0.0,0.0,1.0,0,0,0,0,0,3237.0,0.0,30.0,360.0,1.0
271,0.0,0.0,1.0,1,1,0,0,0,11146.0,0.0,136.0,360.0,1.0
272,1.0,0.0,0.0,1,0,0,0,0,2833.0,1857.0,126.0,360.0,1.0
273,0.0,1.0,0.0,1,1,0,0,0,2620.0,2223.0,150.0,360.0,1.0
274,0.0,1.0,0.0,1,1,2,0,0,3900.0,0.0,90.0,360.0,1.0
275,0.0,1.0,0.0,1,1,1,0,0,2750.0,1842.0,115.0,360.0,1.0
276,0.0,1.0,0.0,1,1,0,0,0,3993.0,3274.0,207.0,360.0,1.0
277,0.0,0.0,1.0,1,1,0,0,0,3103.0,1300.0,80.0,360.0,1.0
278,0.0,1.0,0.0,1,1,0,0,0,14583.0,0.0,436.0,360.0,1.0
279,1.0,0.0,0.0,0,1,0,1,0,4100.0,0.0,124.0,360.0,1.0
280,0.0,0.0,1.0,1,0,1,1,1,4053.0,2426.0,158.0,360.0,0.0
281,0.0,1.0,0.0,1,1,0,0,0,3927.0,800.0,112.0,360.0,1.0
282,0.0,0.0,1.0,1,1,2,0,0,2301.0,985.7999877999998,78.0,180.0,1.0
283,0.0,0.0,1.0,0,0,0,0,0,1811.0,1666.0,54.0,360.0,1.0
284,1.0,0.0,0.0,1,1,0,0,0,20667.0,0.0,146.41216216216216,360.0,1.0
285,1.0,0.0,0.0,1,0,0,0,0,3158.0,3053.0,89.0,360.0,1.0
286,0.0,1.0,0.0,0,0,0,0,1,2600.0,1717.0,99.0,300.0,1.0
287,1.0,0.0,0.0,1,1,0,0,0,3704.0,2000.0,120.0,360.0,1.0
288,0.0,1.0,0.0,0,0,0,0,0,4124.0,0.0,115.0,360.0,1.0
289,1.0,0.0,0.0,1,0,0,0,0,9508.0,0.0,187.0,360.0,1.0
290,1.0,0.0,0.0,1,1,0,0,0,3075.0,2416.0,139.0,360.0,1.0
291,0.0,1.0,0.0,1,1,2,0,0,4400.0,0.0,127.0,360.0,0.0
292,0.0,0.0,1.0,1,1,2,0,0,3153.0,1560.0,134.0,360.0,1.0
293,0.0,0.0,1.0,0,0,0,0,0,5417.0,0.0,143.0,480.0,0.0
294,0.0,1.0,0.0,1,1,0,0,0,2383.0,3334.0,172.0,360.0,1.0
295,0.0,0.0,1.0,1,1,3+,0,0,4416.0,1250.0,110.0,360.0,1.0
296,0.0,1.0,0.0,1,1,1,0,0,6875.0,0.0,200.0,360.0,1.0
297,0.0,0.0,1.0,0,1,1,0,0,4666.0,0.0,135.0,360.0,1.0
298,1.0,0.0,0.0,0,0,0,0,0,5000.0,2541.0,151.0,480.0,1.0
299,0.0,0.0,1.0,1,1,1,0,0,2014.0,2925.0,113.0,360.0,1.0
300,0.0,0.0,1.0,1,1,0,1,0,1800.0,2934.0,93.0,360.0,0.0
301,0.0,1.0,0.0,1,1,0,1,0,2875.0,1750.0,105.0,360.0,1.0
302,1.0,0.0,0.0,0,0,0,0,0,5000.0,0.0,132.0,360.0,1.0
303,0.0,0.0,1.0,1,1,1,0,0,1625.0,1803.0,96.0,360.0,1.0
304,1.0,0.0,0.0,1,0,0,0,0,4000.0,2500.0,140.0,360.0,1.0
305,0.0,0.0,1.0,1,0,0,1,0,2000.0,0.0,146.41216216216216,360.0,1.0
306,1.0,0.0,0.0,0,0,0,0,0,3762.0,1666.0,135.0,360.0,1.0
307,0.0,0.0,1.0,0,0,0,0,0,2400.0,1863.0,104.0,360.0,0.0
308,1.0,0.0,0.0,1,0,0,0,0,20233.0,0.0,480.0,360.0,1.0
309,1.0,0.0,0.0,1,1,2,1,0,7667.0,0.0,185.0,360.0,1.0
310,0.0,1.0,0.0,0,0,0,0,0,2917.0,0.0,84.0,360.0,1.0
311,0.0,1.0,0.0,1,0,0,1,0,2927.0,2405.0,111.0,360.0,1.0
312,1.0,0.0,0.0,0,0,0,0,0,2507.0,0.0,56.0,360.0,1.0
313,1.0,0.0,0.0,1,1,2,0,1,5746.0,0.0,144.0,84.0,1.0
314,1.0,0.0,0.0,1,1,0,0,0,2473.0,1843.0,159.0,360.0,1.0
315,0.0,0.0,1.0,1,1,1,1,0,3399.0,1640.0,111.0,180.0,1.0
316,0.0,1.0,0.0,1,1,2,0,0,3717.0,0.0,120.0,360.0,1.0
317,0.0,0.0,1.0,1,1,0,0,0,2058.0,2134.0,88.0,360.0,1.0
318,0.0,1.0,0.0,0,0,1,0,0,3541.0,0.0,112.0,360.0,1.0
319,1.0,0.0,0.0,1,1,1,0,1,10000.0,0.0,155.0,360.0,1.0
320,0.0,1.0,0.0,1,1,0,0,0,2400.0,2167.0,115.0,360.0,1.0
321,0.0,1.0,0.0,1,1,3+,0,0,4342.0,189.0,124.0,360.0,1.0
322,1.0,0.0,0.0,1,1,2,1,0,3601.0,1590.0,146.41216216216216,360.0,1.0
323,1.0,0.0,0.0,0,0,0,0,0,3166.0,2985.0,132.0,360.0,1.0
324,1.0,0.0,0.0,1,1,3+,0,0,15000.0,0.0,300.0,360.0,1.0
325,1.0,0.0,0.0,1,1,1,0,1,8666.0,4983.0,376.0,360.0,0.0
326,1.0,0.0,0.0,1,0,0,0,0,4917.0,0.0,130.0,360.0,0.0
327,0.0,1.0,0.0,1,1,0,0,1,5818.0,2160.0,184.0,360.0,1.0
328,0.0,0.0,1.0,0,1,0,0,0,4333.0,2451.0,110.0,360.0,1.0
329,0.0,0.0,1.0,0,0,0,0,0,2500.0,0.0,67.0,360.0,1.0
330,0.0,0.0,1.0,1,0,1,0,0,4384.0,1793.0,117.0,360.0,1.0
331,0.0,1.0,0.0,1,0,0,0,0,2935.0,0.0,98.0,360.0,1.0
332,0.0,0.0,1.0,1,0,0,0,0,2833.0,0.0,71.0,360.0,1.0
333,0.0,0.0,1.0,1,1,0,0,0,63337.0,0.0,490.0,180.0,1.0
334,0.0,0.0,1.0,1,1,1,0,1,9833.0,1833.0,182.0,180.0,1.0
335,0.0,1.0,0.0,1,1,0,0,1,5503.0,4490.0,70.0,360.0,1.0
336,1.0,0.0,0.0,1,1,1,0,0,5250.0,688.0,160.0,360.0,1.0
337,1.0,0.0,0.0,1,1,2,0,1,2500.0,4600.0,176.0,360.0,1.0
338,0.0,0.0,1.0,0,0,3+,1,0,1830.0,0.0,146.41216216216216,360.0,0.0
339,0.0,1.0,0.0,0,0,0,0,0,4160.0,0.0,71.0,360.0,1.0
340,1.0,0.0,0.0,1,1,3+,1,0,2647.0,1587.0,173.0,360.0,1.0
341,1.0,0.0,0.0,0,0,0,0,0,2378.0,0.0,46.0,360.0,1.0
342,0.0,0.0,1.0,1,1,1,1,0,4554.0,1229.0,158.0,360.0,1.0
343,0.0,1.0,0.0,1,1,3+,1,0,3173.0,0.0,74.0,360.0,1.0
344,1.0,0.0,0.0,1,1,2,0,0,2583.0,2330.0,125.0,360.0,1.0
345,0.0,1.0,0.0,1,1,0,0,0,2499.0,2458.0,160.0,360.0,1.0
346,1.0,0.0,0.0,1,1,0,1,0,3523.0,3230.0,152.0,360.0,0.0
347,0.0,0.0,1.0,1,1,2,1,0,3083.0,2168.0,126.0,360.0,1.0
348,0.0,1.0,0.0,1,1,0,0,0,6333.0,4583.0,259.0,360.0,1.0
349,1.0,0.0,0.0,1,1,0,0,0,2625.0,6250.0,187.0,360.0,1.0
350,0.0,1.0,0.0,1,1,0,0,0,9083.0,0.0,228.0,360.0,1.0
351,1.0,0.0,0.0,1,0,0,0,0,8750.0,4167.0,308.0,360.0,1.0
352,1.0,0.0,0.0,1,1,3+,0,0,2666.0,2083.0,95.0,360.0,1.0
353,1.0,0.0,0.0,0,1,0,0,1,5500.0,0.0,105.0,360.0,0.0
354,0.0,1.0,0.0,0,1,0,0,0,2423.0,505.0,130.0,360.0,1.0
355,0.0,0.0,1.0,0,0,0,0,0,3813.0,0.0,116.0,180.0,1.0
356,1.0,0.0,0.0,1,1,2,0,0,8333.0,3167.0,165.0,360.0,1.0
357,0.0,0.0,1.0,1,1,1,0,0,3875.0,0.0,67.0,360.0,1.0
358,0.0,0.0,1.0,1,1,0,1,0,3000.0,1666.0,100.0,480.0,0.0
359,0.0,1.0,0.0,1,1,3+,0,0,5167.0,3167.0,200.0,360.0,1.0
360,0.0,1.0,0.0,0,0,1,0,0,4723.0,0.0,81.0,360.0,1.0
361,0.0,1.0,0.0,1,1,2,0,0,5000.0,3667.0,236.0,360.0,1.0
362,0.0,0.0,1.0,1,1,0,0,0,4750.0,2333.0,130.0,360.0,1.0
363,0.0,0.0,1.0,1,1,0,0,0,3013.0,3033.0,95.0,300.0,1.0
364,1.0,0.0,0.0,1,0,0,0,1,6822.0,0.0,141.0,360.0,1.0
365,1.0,0.0,0.0,1,0,0,1,0,6216.0,0.0,133.0,360.0,1.0
366,0.0,1.0,0.0,1,0,0,0,0,2500.0,0.0,96.0,480.0,1.0
367,1.0,0.0,0.0,1,0,0,0,0,5124.0,0.0,124.0,360.0,0.0
368,0.0,1.0,0.0,1,1,1,0,0,6325.0,0.0,175.0,360.0,1.0
369,1.0,0.0,0.0,1,1,0,0,0,19730.0,5266.0,570.0,360.0,1.0
370,0.0,1.0,0.0,0,0,0,0,1,15759.0,0.0,55.0,360.0,1.0
371,0.0,1.0,0.0,1,1,2,0,0,5185.0,0.0,155.0,360.0,1.0
372,1.0,0.0,0.0,1,1,2,0,1,9323.0,7873.0,380.0,300.0,1.0
373,0.0,0.0,1.0,1,0,1,0,0,3062.0,1987.0,111.0,180.0,0.0
374,0.0,0.0,1.0,0,0,0,0,0,2764.0,1459.0,110.0,360.0,1.0
375,0.0,0.0,1.0,1,1,0,0,0,4817.0,923.0,120.0,180.0,1.0
376,1.0,0.0,0.0,1,1,3+,0,0,8750.0,4996.0,130.0,360.0,1.0
377,0.0,1.0,0.0,1,1,0,0,0,4310.0,0.0,130.0,360.0,1.0
378,0.0,0.0,1.0,1,0,0,0,0,3069.0,0.0,71.0,480.0,1.0
379,0.0,0.0,1.0,1,1,2,0,0,5391.0,0.0,130.0,360.0,1.0
380,0.0,1.0,0.0,1,1,0,0,0,3333.0,2500.0,128.0,360.0,1.0
381,0.0,1.0,0.0,1,0,0,0,0,5941.0,4232.0,296.0,360.0,1.0
382,0.0,0.0,1.0,0,0,0,0,0,6000.0,0.0,156.0,360.0,1.0
383,0.0,0.0,1.0,1,0,0,0,1,7167.0,0.0,128.0,360.0,1.0
384,0.0,0.0,1.0,1,1,2,0,0,4566.0,0.0,100.0,360.0,1.0
385,0.0,0.0,1.0,1,0,1,0,0,3667.0,0.0,113.0,180.0,1.0
386,0.0,1.0,0.0,1,0,0,1,0,2346.0,1600.0,132.0,360.0,1.0
387,0.0,0.0,1.0,1,1,0,1,0,3010.0,3136.0,146.41216216216216,360.0,0.0
388,0.0,0.0,1.0,1,1,0,0,0,2333.0,2417.0,136.0,360.0,1.0
389,1.0,0.0,0.0,1,1,0,0,0,5488.0,0.0,125.0,360.0,1.0
390,1.0,0.0,0.0,1,0,3+,0,0,9167.0,0.0,185.0,360.0,1.0
391,1.0,0.0,0.0,1,1,3+,0,0,9504.0,0.0,275.0,360.0,1.0
392,0.0,0.0,1.0,1,1,0,0,0,2583.0,2115.0,120.0,360.0,1.0
393,0.0,1.0,0.0,1,1,2,1,0,1993.0,1625.0,113.0,180.0,1.0
394,0.0,0.0,1.0,1,1,2,0,0,3100.0,1400.0,113.0,360.0,1.0
395,0.0,1.0,0.0,1,1,2,0,0,3276.0,484.0,135.0,360.0,1.0
396,0.0,0.0,1.0,0,0,0,0,0,3180.0,0.0,71.0,360.0,0.0
397,0.0,0.0,1.0,1,1,0,0,0,3033.0,1459.0,95.0,360.0,1.0
398,1.0,0.0,0.0,1,0,0,1,0,3902.0,1666.0,109.0,360.0,1.0
399,0.0,1.0,0.0,0,0,0,0,0,1500.0,1800.0,103.0,360.0,0.0
400,0.0,0.0,1.0,1,1,2,1,0,2889.0,0.0,45.0,180.0,0.0
401,1.0,0.0,0.0,1,0,0,1,0,2755.0,0.0,65.0,300.0,1.0
402,0.0,1.0,0.0,1,0,0,0,0,2500.0,20000.0,103.0,360.0,1.0
403,0.0,1.0,0.0,0,0,0,1,0,1963.0,0.0,53.0,360.0,1.0
404,1.0,0.0,0.0,0,0,0,0,1,7441.0,0.0,194.0,360.0,1.0
405,0.0,1.0,0.0,0,0,0,0,0,4547.0,0.0,115.0,360.0,1.0
406,0.0,0.0,1.0,1,1,0,1,0,2167.0,2400.0,115.0,360.0,1.0
407,1.0,0.0,0.0,0,0,0,1,0,2213.0,0.0,66.0,360.0,1.0
408,0.0,1.0,0.0,1,1,1,0,0,8300.0,0.0,152.0,300.0,0.0
